LTE,272,3,40052,10499340,-1,-6.2592,53.3407,1000,17,1,1573056671,1760172125,0
LTE,272,3,40052,10499330,-1,-6.258,53.3409,1000,7,1,1573057167,1760172123,0
LTE,272,3,40052,10521089,-1,-6.256,53.3415,1000,12,1,1573057180,1760172124,0
LTE,272,3,40052,10520588,-1,-6.2755,53.347,1000,11,1,1573058075,1765142411,0
LTE,272,5,41101,260359,0,-6.4768,53.2762,1974,21,1,1573663567,1757197322,0
LTE,272,3,40052,10520589,-1,-6.2736,53.3499,1000,15,1,1573565238,1765142477,0
LTE,272,3,4006,10496780,-1,-6.2611,53.3556,1000,9,1,1573650394,1765142478,0
LTE,272,3,4006,10496781,-1,-6.2655,53.3583,1000,20,1,1573650534,1765142476,0
LTE,272,3,4006,10584333,-1,-6.2703,53.3606,1000,15,1,1573650704,1757460542,0
LTE,272,3,4006,10506252,-1,-6.2729,53.361,1000,16,1,1573650894,1765142343,0
LTE,272,3,40072,10572556,-1,-6.4253,53.297,1700,27,1,1574652661,1757350443,0
LTE,272,3,40111,10702348,-1,-6.4742,53.2824,5296,49,1,1574652831,1741095066,0
LTE,272,3,40111,11415555,-1,-6.6454,53.2518,1374,27,1,1574660917,1754485268,0
LTE,272,3,40111,10705677,-1,-6.6758,53.2409,776,25,1,1574677122,1754485268,0
LTE,272,3,40111,11432964,-1,-6.5673,53.2547,1207,23,1,1574677492,1757350444,0
LTE,272,3,40052,10510347,-1,-6.2657,53.3377,1000,15,1,1574818253,1755005823,0
LTE,272,3,40052,10607118,-1,-6.2648,53.3427,1000,15,1,1574818303,1765142475,0
LTE,272,3,40052,10520587,-1,-6.2711,53.3479,1000,17,1,1574818573,1765142472,0
LTE,272,3,4006,10506251,-1,-6.2723,53.3621,1000,11,1,1574819293,1765142343,0
LTE,272,3,40052,10517773,-1,-6.2482,53.3479,500,38,1,1574905676,1754521144,0
LTE,272,3,40052,10502156,-1,-6.2055,53.3292,5294,5,1,1575031096,1730135720,0
LTE,272,3,40122,11016961,0,-8.3886,51.9497,3381,27,1,1579626095,1763192224,0
LTE,272,5,40204,811542,0,-6.2141,53.3416,1000,8,1,1583423968,1729548783,0
LTE,272,5,40100,346368,0,-6.2873,53.356,1000,7,1,1585913535,1729448223,0
LTE,272,5,40100,308226,0,-6.2823,53.35,1000,8,1,1587814848,1729448223,0
LTE,272,5,40100,823810,0,-6.2818,53.3509,1000,9,1,1587814899,1729448223,0
LTE,272,3,40112,11133697,0,-8.9214,53.2744,1000,14,1,1588000461,1729284901,0
LTE,272,3,40112,10829580,0,-8.974,53.3002,5054,13,1,1588000857,1729284850,0
LTE,272,3,4006,10497036,0,-6.2626,53.3522,1000,22,1,1593960960,1765142476,0
LTE,272,3,4006,10497026,0,-6.2624,53.3515,1000,5,1,1593961025,1729358768,0
LTE,272,3,4006,10497037,0,-6.2636,53.3542,1000,8,1,1593961220,1755855842,0
LTE,272,3,40052,10520843,0,-6.2603,53.35,1000,4,1,1593961477,1757460547,0
LTE,272,3,40052,10699276,0,-6.2578,53.344,1000,14,1,1593970486,1768588883,0
LTE,272,3,40052,10498572,0,-6.2636,53.3498,1000,9,1,1593970999,1765142473,0
LTE,272,3,40052,10507275,0,-6.268,53.3498,1000,18,1,1593971128,1765142479,0
LTE,272,3,40052,10507335,0,-6.2656,53.3506,1000,2,1,1593971382,1729448233,0
LTE,272,3,40052,10498571,0,-6.2657,53.351,1000,12,1,1593971447,1765142343,0
LTE,272,3,40052,10514443,0,-6.269,53.3521,1000,10,1,1594053234,1755855856,0
LTE,272,3,40052,10498633,0,-6.2676,53.3482,1000,5,1,1594053840,1729358767,0
LTE,272,3,40052,10498573,0,-6.2656,53.3484,1000,24,1,1594053905,1765142472,0
LTE,272,3,40052,10699275,0,-6.2616,53.3501,8880,23,1,1594054025,1768588883,0
LTE,272,3,40052,10520834,0,-6.2587,53.3469,1000,5,1,1594057627,1765142472,0
UMTS,272,3,30052,19737933,460,-6.2701,53.3494,500,50,1,1594058354,1757460545,0
LTE,272,3,40052,10507265,0,-6.2658,53.3505,1000,12,1,1594058367,1765142343,0
LTE,272,3,40101,768002,0,-6.2606,53.3498,1000,2,1,1596111049,1755855851,0
LTE,272,5,41000,792838,-1,-6.5456,53.3615,1029,50,1,1597471165,1729285034,0
LTE,272,5,41001,786696,-1,-6.5264,53.3592,725,50,1,1597471205,1729285034,0
LTE,272,5,41002,92416,-1,-6.4557,53.3528,588,33,1,1597471365,1729285035,0
LTE,272,5,41002,797696,-1,-6.4412,53.3519,838,26,1,1597471395,1729285035,0
LTE,272,5,41002,92418,-1,-6.4662,53.3571,579,38,1,1597474928,1729285035,0
LTE,272,5,41001,839681,-1,-6.4763,53.3582,816,50,1,1597474955,1729285035,0
LTE,272,5,41001,839682,-1,-6.496,53.3579,1155,50,1,1597474985,1729285035,0
LTE,272,5,41001,786720,-1,-6.5194,53.3585,1000,22,1,1597475059,1729285034,0
LTE,272,5,41401,818952,-1,-6.697,53.4049,902,36,1,1597475448,1729285032,0
LTE,272,5,40100,842753,-1,-6.2682,53.3455,500,33,1,1599715964,1734722402,0
LTE,272,5,40101,916244,-1,-6.2652,53.3504,1000,14,1,1599717865,1751281381,0
LTE,272,5,40102,917762,-1,-6.2586,53.3299,1000,16,1,1599728412,1729285044,0
LTE,272,3,40112,10787585,-1,-8.222,53.3354,1331,18,1,1599801918,1729284933,0
LTE,272,3,4006,11153164,0,-6.2204,53.4298,1796,5,1,1603653303,1757069183,0
LTE,272,3,40052,10517762,0,-6.2352,53.3582,1000,2,1,1604246512,1765142408,0
LTE,272,3,40052,10584587,0,-6.2308,53.3583,1000,4,1,1604253124,1765142408,0
UMTS,272,2,30100,48527394,200,-6.2637,53.3442,1000,10,1,1607798833,1729448223,0
LTE,272,3,40101,11375895,0,-7.2472,52.6571,1253,31,1,1608715955,1757518562,0
UMTS,272,2,30100,48509691,93,-6.2664,53.3381,1000,7,1,1610453506,1729358709,0
UMTS,272,2,30100,48508683,200,-6.2644,53.3443,1000,2,1,1611087458,1729548782,0
LTE,272,5,41903,805121,0,-8.1675,53.6239,1666,37,1,1612466432,1729435801,0
LTE,272,5,40500,778754,0,-6.3595,53.3856,930,50,1,1613045661,1729285038,0
LTE,272,5,40500,429313,0,-6.3685,53.3858,1000,9,1,1613045721,1729285038,0
LTE,272,5,40902,935936,0,-6.3854,53.3943,1000,17,1,1613045766,1729285038,0
LTE,272,5,40500,429333,0,-6.3721,53.3869,1000,11,1,1613048273,1729285036,0
LTE,272,3,40071,10591489,0,-6.4029,53.3612,2671,6,1,1613981049,1729284963,0
LTE,272,3,40071,10499605,0,-6.2934,53.3485,612,26,1,1614154638,1757518571,0
LTE,272,3,40071,10542358,0,-6.3097,53.3602,1801,17,1,1616153619,1729448231,0
LTE,272,3,40071,10496279,0,-6.2906,53.3566,1000,20,1,1616153808,1757350442,0
LTE,272,3,40071,10496278,0,-6.2866,53.3574,1000,4,1,1616154086,1757350442,0
LTE,272,3,40071,10520086,0,-6.2841,53.3529,1000,12,1,1616154128,1729448229,0
LTE,272,3,40052,10511383,0,-6.2825,53.3508,1000,6,1,1616154179,1729448229,0
LTE,272,3,40071,10499606,0,-6.2821,53.3519,8992,18,1,1616154227,1765142411,0
LTE,272,3,40071,10499596,0,-6.2781,53.3581,8255,8,1,1616154244,1757069185,0
LTE,272,3,40052,10504461,0,-6.2797,53.3473,1138,7,1,1616154285,1765142411,0
LTE,272,3,40052,10504471,0,-6.2793,53.346,1279,14,1,1616154308,1754493962,0
LTE,272,3,40052,10504469,0,-6.2756,53.3486,9223,30,1,1616154419,1765142411,0
LTE,272,3,40052,10504470,0,-6.2752,53.3452,1000,14,1,1616154431,1765142411,0
LTE,272,3,40052,10699287,0,-6.264,53.345,1000,22,1,1616154457,1757253558,0
LTE,272,3,40052,10507543,0,-6.264,53.3462,797,25,1,1616154567,1765142474,0
LTE,272,3,40052,10699285,0,-6.2621,53.3514,8745,17,1,1616154582,1768588883,0
LTE,272,3,40052,10520854,0,-6.2557,53.3487,654,42,1,1616154747,1772048643,0
LTE,272,3,4006,10497046,0,-6.263,53.3522,500,29,1,1616154890,1765142477,0
LTE,272,3,40052,10507541,0,-6.2581,53.3461,1000,22,1,1616155788,1772048642,0
